teamid,uploads_last_7_days,uploads_last_14_days,uploads_last_30_days,uploads_last_60_days,uploads_last_90_days,uploads_last_365_days,users_watching_video_last_7_days,users_watching_video_last_14_days,users_watching_video_last_30_days,users_watching_video_last_60_days,users_watching_video_last_90_days,users_watching_video_last_365_days
01b43d953a41e744e963e27cc6a28eac,3,6,8,13,17,18,5,9,9,15,19,23
01b4875c8c4fdb9c5fbb95bf01740123,0,3,5,11,21,38,1,2,2,5,6,13
01bdc4d32349eb36b021b96b45254126,2,4,6,10,15,17,1,5,9,17,18,23
01be65fd148eb6cff3f407316c27dbf6,2,4,8,15,15,22,7,8,12,15,18,25
01cbf9357bd13b2fa436277ae642f35e,4,9,16,33,35,62,8,10,10,11,13,19
01d07c83b862a750a9c02a2778601eae,2,5,7,12,13,16,3,3,4,12,12,14
01df741939cdbbe8b3f1351eda16e856,2,4,12,20,23,28,2,4,4,5,8,9
01f602088ea732ab26eee1d1a9c51ae5,2,2,5,9,9,20,5,5,6,16,21,31
01f8abf622f008dc06e7556dbe5b2558,9,16,34,56,56,66,7,7,9,15,15,22
020cf6fe6852e928e7a8ac1577a28e94,5,11,22,51,57,66,12,13,15,21,22,26
020d6208a1c666d9504e5a1eac65ed67,2,5,9,21,27,40,2,3,3,7,9,11
02195428798d788961dd2ffa73f4ab1c,0,0,0,0,0,3,0,0,0,0,1,2
021cd7a416138abe57030f17bb3b2686,0,0,0,0,0,0,0,0,0,0,1,5
021dc8a02db486be71b957e17dd996d6,2,4,7,16,16,18,8,11,12,17,17,22
02234e75bce3736ea6a90799e614d161,3,6,9,29,30,56,4,6,8,12,12,19
024b91a1bff9da39f47ebcff568fe8b0,0,0,0,0,0,0,0,0,0,0,0,4
0250e329059b02574e71db5834a85817,2,3,3,5,5,5,7,7,8,17,18,18
025265d5f174ede4daf6c27473062bdb,3,14,32,66,69,89,4,7,8,15,15,23
0254e680256e2b09f0678561ee29173b,2,4,7,20,36,40,4,6,7,10,11,11
025cc66008d378a861f1bb5dc934e56f,0,2,4,7,9,9,1,2,2,3,3,4
02821e76e61d65680d7f39c032ba5fb8,0,1,2,7,9,9,1,5,9,12,15,17
028e3b6881db7e6c8a8dc7f1ffb3545f,0,0,0,0,0,0,0,0,0,0,0,1
029a28219b3580d8496e73f1f16fc60c,8,15,28,55,66,103,9,12,12,16,20,24
029b872694400220bf694b02a4ea2805,5,8,12,23,23,36,11,11,12,12,12,18
029c9620d62685fb5fc8ce8b375f13d5,7,10,16,28,33,42,7,10,12,20,21,30
029ef933233b1d0dc87898544f085e10,8,11,27,50,52,75,7,10,15,28,30,32
02a2079a71cd5adcb007907934a5a908,2,2,9,12,12,26,1,4,6,7,7,13
02a65d47df8f27c193a5ed0e2f7b55c7,0,1,2,9,35,50,1,1,1,2,3,3
02a696104ad2b8456836096ad3881456,1,3,10,25,31,31,6,7,9,13,13,13
02a942c0155f673452877a15122a850e,2,2,4,11,13,20,3,5,7,15,15,20
02b8218b311ddda3a774c36de620d95f,6,13,20,23,23,25,1,1,1,1,1,1
02bcac2d5f72a56fda3e60e7a7c94087,2,5,9,18,18,18,7,8,10,14,14,14
02c1d907ef23ff05778b1202782ef972,6,10,32,47,48,63,8,11,12,14,16,17
02c1dddf54065a8896db510c0d6acdd4,5,13,20,35,35,35,3,5,5,13,14,14
02c67ecb7eea72cb722623b9d338b49c,7,13,19,37,44,72,1,6,7,12,12,19
02c9e6efa185d2e7ed958462413176d5,2,3,8,12,12,20,9,10,14,18,19,21
02d3465230b21c8a7732d411b87a7ca5,6,12,34,45,46,46,14,17,18,20,20,20
